,coords,col_2,type,nom,dict
943,"[45.6697, 5.0486]","[0, 1]",BI,Jonction A43/A432,{'roadname': 'A432'}
944,"[45.8019, 4.92698]","[0, 1]",BI,Jonction A42/A46,{'roadname': 'A46N'}
945,"[45.8019, 4.92698]","[0, 1]",BI,jonction A42/A46N/N346,{'roadname': 'A42'}
946,"[45.8019, 4.92698]","[0, 1]",BI,Jonction A46N/N346,{'roadname': 'N346'}
947,"[45.7704, 4.9848]","[0, 1]",EC,Meyzieux Grand Large,"{'numero': '6', 'roadname': 'N346'}"
948,"[45.8105, 4.93658]","[0, 1]",EC,Miribel,"{'numero': '4', 'roadname': 'A42'}"
949,"[45.7502, 4.98663]","[0, 1]",EC,Pusignan,"{'numero': '7', 'roadname': 'N346'}"
950,"[45.7834, 4.9566300000000005]","[0, 1]",EC,Vaulx en Velin La Rize,"{'numero': '5', 'roadname': 'N346'}"
951,"[45.8205, 4.99378]","[0.8660249999999999, 0.5]",BA,Barri&egrave;re de Beynost,{'roadname': 'A42'}
952,"[45.8275, 5.03217]","[0.642788, -0.766044]",BA,Barri&egrave;re de La Boisse,{'roadname': 'A432'}
953,"[45.8275, 5.03217]","[-0.642788, 0.766044]",BA,Gare de p&eacute;age de La Boisse (vers A42 Gen&egrave;ve),{'roadname': 'A432'}
954,"[45.8275, 5.03217]","[0.642788, -0.766044]",BA,Gare de p&eacute;age de La Boisse (vers A432 Grenoble),{'roadname': 'A432'}
955,"[45.8275, 5.03217]","[-0.642788, 0.766044]",BA,Gare de p&eacute;age de La Boisse (vers A432 Paris),{'roadname': 'A432'}
956,"[45.8321, 5.02719]","[0, 1]",BI,Jonction A42/A432,{'roadname': 'A432'}
957,"[45.8389, 5.04515]","[0, 1]",EC,Montluel,"{'numero': '5.1', 'roadname': 'A42'}"
958,"[45.8182, 4.98607]","[0, 1]",EC,Saint Maurice de Beynost,"{'numero': '5', 'roadname': 'A42'}"
959,"[45.821, 4.99522]","[0.8660249999999999, 0.5]",AR,Beynost Sud,{'roadname': 'A42'}
960,"[45.8203, 4.99238]","[-0.8660249999999999, -0.5]",AR,Beynost Nord,{'roadname': 'A42'}
